id,user_id,short_code,original_url,title,is_active,created_at,updated_at
1,1,TA8G43,https://seeded.app/amber/meadow/1,Incident notes kernel,True,2025-08-24 23:27:09,2026-02-11 16:04:15
2,367,H6ENul,https://acme.dev/tidy/network/2,Demo link island,True,2025-11-19 20:56:22,2025-11-24 09:24:42
3,151,WzOmOP,https://hackstack.io/harbor/garden/3,Roadmap update anchor,False,2025-03-14 03:00:11,2025-07-21 12:39:10
4,220,NLlM8M,https://example.com/young/journey/4,Roadmap update delta,True,2026-01-10 11:55:57,2026-02-13 16:25:47
5,145,ucuPlN,https://hackstack.io/proud/quartz/5,Demo link beacon,True,2025-05-01 18:40:49,2025-09-25 05:56:54
6,242,WTX7jy,https://example.com/silver/journey/6,Demo link journey,True,2025-07-14 21:12:09,2025-09-28 19:55:30
7,56,jOPnks,https://hackstack.io/cobalt/trail/7,Campaign page signal,True,2025-12-06 14:07:41,2026-01-17 16:32:48
8,64,nQYIgf,https://example.com/amber/valley/8,Status board canyon,False,2025-06-30 01:33:55,2025-09-10 09:09:23
9,84,9kPGnp,https://acme.dev/tidy/uplink/9,Demo link field,True,2025-04-06 08:29:37,2025-12-23 23:34:32
10,53,gg9N8q,https://opswise.net/tidy/signal/10,Roadmap update window,True,2025-06-26 04:06:08,2026-01-23 07:07:01
11,374,AFK4wW,https://hackstack.io/navy/harvest/11,Status board island,True,2025-11-08 19:06:34,2025-12-07 18:17:48
12,40,W8gfnM,https://example.com/ember/kernel/12,Campaign page journey,True,2025-04-08 13:25:17,2025-09-02 22:22:14
13,256,GkLnUg,https://opswise.net/clear/pioneer/13,Quarterly brief engine,True,2025-03-19 03:53:01,2025-06-06 14:00:39
14,176,zW0N1Y,https://example.com/clear/meadow/14,Campaign page lagoon,True,2025-08-01 17:06:23,2025-11-09 03:36:04
15,83,VHihyU,https://example.com/cobalt/lagoon/15,Status board delta,True,2025-04-13 03:50:41,2025-09-24 20:31:39
16,289,iKl7vy,https://acme.dev/brisk/pioneer/16,Status board beacon,True,2025-12-11 11:01:44,2026-02-13 02:26:37
